YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;50;0;100;0.000;0.000;0.000;66;277;6;337;0.018;0.091;0.022;106;306;14;398;0.035;0.132;0.046
2012;38;48;2;84;0.024;0.053;0.042;71;270;9;332;0.027;0.127;0.033;100;302;20;382;0.052;0.200;0.066
2011;54;53;3;104;0.029;0.056;0.057;55;198;8;245;0.033;0.145;0.040;97;235;14;318;0.044;0.144;0.060
2010;44;45;0;89;0.000;0.000;0.000;63;193;7;249;0.028;0.111;0.036;94;225;11;308;0.036;0.117;0.049
2009;48;44;2;90;0.022;0.042;0.045;72;147;6;213;0.028;0.083;0.041;110;181;10;281;0.036;0.091;0.055
2008;56;41;1;96;0.010;0.018;0.024;56;162;1;217;0.005;0.018;0.006;101;195;5;291;0.017;0.050;0.026
2007;48;36;1;83;0.012;0.021;0.028;57;140;1;196;0.005;0.018;0.007;94;171;5;260;0.019;0.053;0.029
2006;37;36;1;72;0.014;0.027;0.028;63;105;1;167;0.006;0.016;0.010;94;137;3;228;0.013;0.032;0.022
2005;33;46;0;79;0.000;0.000;0.000;62;137;0;199;0.000;0.000;0.000;87;175;0;262;0.000;0.000;0.000
2004;43;50;1;92;0.011;0.023;0.020;54;185;1;238;0.004;0.019;0.005;87;221;2;306;0.007;0.023;0.009
2003;37;45;1;81;0.012;0.027;0.022;50;124;3;171;0.018;0.060;0.024;80;157;6;231;0.026;0.075;0.038
2002;37;48;0;85;0.000;0.000;0.000;62;124;2;184;0.011;0.032;0.016;88;163;3;248;0.012;0.034;0.018
2001;32;38;1;69;0.014;0.031;0.026;66;120;3;183;0.016;0.045;0.025;84;151;6;229;0.026;0.071;0.040
2000;27;47;2;72;0.028;0.074;0.043;54;123;1;176;0.006;0.019;0.008;74;159;3;230;0.013;0.041;0.019
1999;36;43;2;77;0.026;0.056;0.047;55;153;3;205;0.015;0.055;0.020;75;183;8;250;0.032;0.107;0.044
1998;33;38;1;70;0.014;0.030;0.026;66;95;6;155;0.039;0.091;0.063;84;126;8;202;0.040;0.095;0.063
1997;37;50;1;86;0.012;0.027;0.020;51;141;4;188;0.021;0.078;0.028;73;184;7;250;0.028;0.096;0.038
