YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;71;22;99;0.222;0.440;0.310;66;115;8;173;0.046;0.121;0.070;106;175;33;248;0.133;0.311;0.189
2012;38;70;16;92;0.174;0.421;0.229;71;154;17;208;0.082;0.239;0.110;100;199;39;260;0.150;0.390;0.196
2011;54;80;28;106;0.264;0.519;0.350;55;113;9;159;0.057;0.164;0.080;97;174;39;232;0.168;0.402;0.224
2010;44;74;23;95;0.242;0.523;0.311;63;106;15;154;0.097;0.238;0.142;94;164;32;226;0.142;0.340;0.195
2009;48;81;29;100;0.290;0.604;0.358;72;117;11;178;0.062;0.153;0.094;110;184;44;250;0.176;0.400;0.239
2008;56;82;26;112;0.232;0.464;0.317;56;105;11;150;0.073;0.196;0.105;101;170;40;231;0.173;0.396;0.235
2007;48;89;35;102;0.343;0.729;0.393;57;142;5;194;0.026;0.088;0.035;94;210;40;264;0.152;0.426;0.190
2006;37;80;24;93;0.258;0.649;0.300;63;122;17;168;0.101;0.270;0.139;94;183;44;233;0.189;0.468;0.240
2005;33;60;13;80;0.163;0.394;0.217;62;139;9;192;0.047;0.145;0.065;87;182;25;244;0.102;0.287;0.137
2004;43;57;17;83;0.205;0.395;0.298;54;104;12;146;0.082;0.222;0.115;87;146;34;199;0.171;0.391;0.233
2003;37;57;17;77;0.221;0.459;0.298;50;105;5;150;0.033;0.100;0.048;80;154;23;211;0.109;0.287;0.149
2002;37;73;23;87;0.264;0.622;0.315;62;155;11;206;0.053;0.177;0.071;88;207;34;261;0.130;0.386;0.164
2001;32;64;24;72;0.333;0.750;0.375;66;183;31;218;0.142;0.470;0.169;84;223;46;261;0.176;0.548;0.206
2000;27;42;9;60;0.150;0.333;0.214;54;64;10;108;0.093;0.185;0.156;74;97;19;152;0.125;0.257;0.196
1999;36;65;16;85;0.188;0.444;0.246;55;115;13;157;0.083;0.236;0.113;75;161;26;210;0.124;0.347;0.161
1998;33;54;15;72;0.208;0.455;0.278;66;77;12;131;0.092;0.182;0.156;84;118;25;177;0.141;0.298;0.212
1997;37;43;13;67;0.194;0.351;0.302;51;91;20;122;0.164;0.392;0.220;73;122;29;166;0.175;0.397;0.238
