YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;36;14;72;0.194;0.280;0.389;66;40;1;105;0.010;0.015;0.025;106;73;17;162;0.105;0.160;0.233
2012;38;42;5;75;0.067;0.132;0.119;71;49;6;114;0.053;0.085;0.122;100;85;15;170;0.088;0.150;0.176
2011;54;42;7;89;0.079;0.130;0.167;55;39;3;91;0.033;0.055;0.077;97;77;14;160;0.087;0.144;0.182
2010;44;36;7;73;0.096;0.159;0.194;63;53;2;114;0.018;0.032;0.038;94;87;11;170;0.065;0.117;0.126
2009;48;38;13;73;0.178;0.271;0.342;72;35;1;106;0.009;0.014;0.029;110;66;15;161;0.093;0.136;0.227
2008;56;45;13;88;0.148;0.232;0.289;56;60;4;112;0.036;0.071;0.067;101;95;20;176;0.114;0.198;0.211
2007;48;36;13;71;0.183;0.271;0.361;57;48;4;101;0.040;0.070;0.083;94;78;16;156;0.103;0.170;0.205
2006;37;34;11;60;0.183;0.297;0.324;63;41;3;101;0.030;0.048;0.073;94;65;19;140;0.136;0.202;0.292
2005;33;34;13;54;0.241;0.394;0.382;62;44;2;104;0.019;0.032;0.045;87;68;15;140;0.107;0.172;0.221
2004;43;38;16;65;0.246;0.372;0.421;54;42;3;93;0.032;0.056;0.071;87;73;20;140;0.143;0.230;0.274
2003;37;39;17;59;0.288;0.459;0.436;50;50;5;95;0.053;0.100;0.100;80;81;24;137;0.175;0.300;0.296
2002;37;32;17;52;0.327;0.459;0.531;62;46;6;102;0.059;0.097;0.130;88;67;26;129;0.202;0.295;0.388
2001;32;33;12;53;0.226;0.375;0.364;66;59;10;115;0.087;0.152;0.169;84;82;22;144;0.153;0.262;0.268
