YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;65;35;80;0.438;0.700;0.538;66;113;4;175;0.023;0.061;0.035;106;167;41;232;0.177;0.387;0.246
2012;38;65;13;90;0.144;0.342;0.200;71;139;6;204;0.029;0.085;0.043;100;186;27;259;0.104;0.270;0.145
2011;54;55;28;81;0.346;0.519;0.509;55;93;10;138;0.072;0.182;0.108;97;134;38;193;0.197;0.392;0.284
2010;44;44;19;69;0.275;0.432;0.432;63;73;10;126;0.079;0.159;0.137;94;109;30;173;0.173;0.319;0.275
2009;48;50;23;75;0.307;0.479;0.460;72;60;7;125;0.056;0.097;0.117;110;101;31;180;0.172;0.282;0.307
2008;56;61;27;90;0.300;0.482;0.443;56;54;9;101;0.089;0.161;0.167;101;101;35;167;0.210;0.347;0.347
2007;48;41;26;63;0.413;0.542;0.634;57;72;5;124;0.040;0.088;0.069;94;104;28;170;0.165;0.298;0.269
2006;37;42;20;59;0.339;0.541;0.476;63;61;18;106;0.170;0.286;0.295;94;87;39;142;0.275;0.415;0.448
2005;33;40;15;58;0.259;0.455;0.375;62;60;2;120;0.017;0.032;0.033;87;90;17;160;0.106;0.195;0.189
2004;43;40;17;66;0.258;0.395;0.425;54;72;8;118;0.068;0.148;0.111;87;103;30;160;0.188;0.345;0.291
2003;37;37;13;61;0.213;0.351;0.351;50;93;4;139;0.029;0.080;0.043;80;118;22;176;0.125;0.275;0.186
2002;37;41;15;63;0.238;0.405;0.366;62;91;9;144;0.062;0.145;0.099;88;118;30;176;0.170;0.341;0.254
2001;32;42;16;58;0.276;0.500;0.381;66;54;14;106;0.132;0.212;0.259;84;85;29;140;0.207;0.345;0.341
2000;27;19;7;39;0.179;0.259;0.368;54;71;14;111;0.126;0.259;0.197;74;80;21;133;0.158;0.284;0.263
1999;36;56;24;68;0.353;0.667;0.429;55;63;15;103;0.146;0.273;0.238;75;100;32;143;0.224;0.427;0.320
1998;33;43;16;60;0.267;0.485;0.372;66;61;9;118;0.076;0.136;0.148;84;92;26;150;0.173;0.310;0.283
1997;37;46;14;69;0.203;0.378;0.304;51;51;8;94;0.085;0.157;0.157;73;81;19;135;0.141;0.260;0.235
