YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;71;1;120;0.008;0.020;0.014;277;115;16;376;0.043;0.058;0.139;306;175;27;454;0.059;0.088;0.154
2012;48;70;8;110;0.073;0.167;0.114;270;154;19;405;0.047;0.070;0.123;302;199;36;465;0.077;0.119;0.181
2011;53;80;9;124;0.073;0.170;0.113;198;113;12;299;0.040;0.061;0.106;235;174;27;382;0.071;0.115;0.155
2010;45;74;5;114;0.044;0.111;0.068;193;106;14;285;0.049;0.073;0.132;225;164;25;364;0.069;0.111;0.152
2009;44;81;1;124;0.008;0.023;0.012;147;117;8;256;0.031;0.054;0.068;181;184;17;348;0.049;0.094;0.092
2008;41;82;5;118;0.042;0.122;0.061;162;105;10;257;0.039;0.062;0.095;195;170;19;346;0.055;0.097;0.112
2007;36;89;2;123;0.016;0.056;0.022;140;142;8;274;0.029;0.057;0.056;171;210;13;368;0.035;0.076;0.062
2006;36;80;1;115;0.009;0.028;0.013;105;122;3;224;0.013;0.029;0.025;137;183;8;312;0.026;0.058;0.044
2005;46;60;0;106;0.000;0.000;0.000;137;139;11;265;0.042;0.080;0.079;175;182;13;344;0.038;0.074;0.071
2004;50;57;2;105;0.019;0.040;0.035;185;104;5;284;0.018;0.027;0.048;221;146;11;356;0.031;0.050;0.075
2003;45;57;2;100;0.020;0.044;0.035;124;105;3;226;0.013;0.024;0.029;157;154;6;305;0.020;0.038;0.039
2002;48;73;3;118;0.025;0.062;0.041;124;155;6;273;0.022;0.048;0.039;163;207;11;359;0.031;0.067;0.053
2001;38;64;3;99;0.030;0.079;0.047;120;183;8;295;0.027;0.067;0.044;151;223;13;361;0.036;0.086;0.058
2000;47;42;2;87;0.023;0.043;0.048;123;64;2;185;0.011;0.016;0.031;159;97;4;252;0.016;0.025;0.041
1999;43;65;2;106;0.019;0.047;0.031;153;115;18;250;0.072;0.118;0.157;183;161;23;321;0.072;0.126;0.143
1998;38;54;0;92;0.000;0.000;0.000;95;77;4;168;0.024;0.042;0.052;126;118;8;236;0.034;0.063;0.068
1997;50;43;2;91;0.022;0.040;0.047;141;91;8;224;0.036;0.057;0.088;184;122;12;294;0.041;0.065;0.098
1996;35;46;2;79;0.025;0.057;0.043;128;84;2;210;0.010;0.016;0.024;160;117;5;272;0.018;0.031;0.043
1995;31;45;1;75;0.013;0.032;0.022;83;89;0;172;0.000;0.000;0.000;110;120;3;227;0.013;0.027;0.025
1994;30;44;0;74;0.000;0.000;0.000;61;109;4;166;0.024;0.066;0.037;89;145;6;228;0.026;0.067;0.041
