YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;36;1;85;0.012;0.020;0.028;277;40;2;315;0.006;0.007;0.050;306;73;6;373;0.016;0.020;0.082
2012;48;42;4;86;0.047;0.083;0.095;270;49;2;317;0.006;0.007;0.041;302;85;11;376;0.029;0.036;0.129
2011;53;42;0;95;0.000;0.000;0.000;198;39;2;235;0.009;0.010;0.051;235;77;4;308;0.013;0.017;0.052
2010;45;36;0;81;0.000;0.000;0.000;193;53;4;242;0.017;0.021;0.075;225;87;6;306;0.020;0.027;0.069
2009;44;38;2;80;0.025;0.045;0.053;147;35;0;182;0.000;0.000;0.000;181;66;4;243;0.016;0.022;0.061
2008;41;45;1;85;0.012;0.024;0.022;162;60;4;218;0.018;0.025;0.067;195;95;6;284;0.021;0.031;0.063
2007;36;36;1;71;0.014;0.028;0.028;140;48;4;184;0.022;0.029;0.083;171;78;9;240;0.037;0.053;0.115
2006;36;34;0;70;0.000;0.000;0.000;105;41;1;145;0.007;0.010;0.024;137;65;3;199;0.015;0.022;0.046
2005;46;34;0;80;0.000;0.000;0.000;137;44;0;181;0.000;0.000;0.000;175;68;0;243;0.000;0.000;0.000
2004;50;38;1;87;0.011;0.020;0.026;185;42;0;227;0.000;0.000;0.000;221;73;2;292;0.007;0.009;0.027
2003;45;39;1;83;0.012;0.022;0.026;124;50;4;170;0.024;0.032;0.080;157;81;5;233;0.021;0.032;0.062
2002;48;32;0;80;0.000;0.000;0.000;124;46;0;170;0.000;0.000;0.000;163;67;1;229;0.004;0.006;0.015
2001;38;33;0;71;0.000;0.000;0.000;120;59;2;177;0.011;0.017;0.034;151;82;2;231;0.009;0.013;0.024
