YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;50;65;1;114;0.009;0.020;0.015;277;113;8;382;0.021;0.029;0.071;306;167;21;452;0.046;0.069;0.126
2012;48;65;4;109;0.037;0.083;0.062;270;139;10;399;0.025;0.037;0.072;302;186;21;467;0.045;0.070;0.113
2011;53;55;3;105;0.029;0.057;0.055;198;93;8;283;0.028;0.040;0.086;235;134;19;350;0.054;0.081;0.142
2010;45;44;4;85;0.047;0.089;0.091;193;73;4;262;0.015;0.021;0.055;225;109;11;323;0.034;0.049;0.101
2009;44;50;2;92;0.022;0.045;0.040;147;60;3;204;0.015;0.020;0.050;181;101;8;274;0.029;0.044;0.079
2008;41;61;2;100;0.020;0.049;0.033;162;54;4;212;0.019;0.025;0.074;195;101;8;288;0.028;0.041;0.079
2007;36;41;1;76;0.013;0.028;0.024;140;72;1;211;0.005;0.007;0.014;171;104;7;268;0.026;0.041;0.067
2006;36;42;1;77;0.013;0.028;0.024;105;61;2;164;0.012;0.019;0.033;137;87;4;220;0.018;0.029;0.046
2005;46;40;0;86;0.000;0.000;0.000;137;60;0;197;0.000;0.000;0.000;175;90;0;265;0.000;0.000;0.000
2004;50;40;1;89;0.011;0.020;0.025;185;72;1;256;0.004;0.005;0.014;221;103;3;321;0.009;0.014;0.029
2003;45;37;0;82;0.000;0.000;0.000;124;93;2;215;0.009;0.016;0.022;157;118;4;271;0.015;0.025;0.034
2002;48;41;0;89;0.000;0.000;0.000;124;91;1;214;0.005;0.008;0.011;163;118;1;280;0.004;0.006;0.008
2001;38;42;3;77;0.039;0.079;0.071;120;54;1;173;0.006;0.008;0.019;151;85;5;231;0.022;0.033;0.059
2000;47;19;0;66;0.000;0.000;0.000;123;71;0;194;0.000;0.000;0.000;159;80;0;239;0.000;0.000;0.000
1999;43;56;2;97;0.021;0.047;0.036;153;63;8;208;0.038;0.052;0.127;183;100;13;270;0.048;0.071;0.130
1998;38;43;1;80;0.013;0.026;0.023;95;61;1;155;0.006;0.011;0.016;126;92;3;215;0.014;0.024;0.033
1997;50;46;2;94;0.021;0.040;0.043;141;51;2;190;0.011;0.014;0.039;184;81;8;257;0.031;0.043;0.099
1996;35;41;0;76;0.000;0.000;0.000;128;52;1;179;0.006;0.008;0.019;160;83;2;241;0.008;0.013;0.024
1995;31;36;0;67;0.000;0.000;0.000;83;58;3;138;0.022;0.036;0.052;110;79;3;186;0.016;0.027;0.038
