YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;71;36;8;99;0.081;0.113;0.222;115;40;2;153;0.013;0.017;0.050;175;73;14;234;0.060;0.080;0.192
2012;70;42;19;93;0.204;0.271;0.452;154;49;19;184;0.103;0.123;0.388;199;85;37;247;0.150;0.186;0.435
2011;80;42;15;107;0.140;0.188;0.357;113;39;7;145;0.048;0.062;0.179;174;77;26;225;0.116;0.149;0.338
2010;74;36;7;103;0.068;0.095;0.194;106;53;5;154;0.032;0.047;0.094;164;87;19;232;0.082;0.116;0.218
2009;81;38;13;106;0.123;0.160;0.342;117;35;2;150;0.013;0.017;0.057;184;66;21;229;0.092;0.114;0.318
2008;82;45;20;107;0.187;0.244;0.444;105;60;7;158;0.044;0.067;0.117;170;95;29;236;0.123;0.171;0.305
2007;89;36;19;106;0.179;0.213;0.528;142;48;5;185;0.027;0.035;0.104;210;78;24;264;0.091;0.114;0.308
2006;80;34;24;90;0.267;0.300;0.706;122;41;9;154;0.058;0.074;0.220;183;65;32;216;0.148;0.175;0.492
2005;60;34;15;79;0.190;0.250;0.441;139;44;4;179;0.022;0.029;0.091;182;68;20;230;0.087;0.110;0.294
2004;57;38;19;76;0.250;0.333;0.500;104;42;7;139;0.050;0.067;0.167;146;73;24;195;0.123;0.164;0.329
2003;57;39;19;77;0.247;0.333;0.487;105;50;5;150;0.033;0.048;0.100;154;81;25;210;0.119;0.162;0.309
2002;73;32;19;86;0.221;0.260;0.594;155;46;19;182;0.104;0.123;0.413;207;67;36;238;0.151;0.174;0.537
2001;64;33;16;81;0.198;0.250;0.485;183;59;22;220;0.100;0.120;0.373;223;82;38;267;0.142;0.170;0.463
