YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;71;65;23;113;0.204;0.324;0.354;115;113;19;209;0.091;0.165;0.168;175;167;52;290;0.179;0.297;0.311
2012;70;65;36;99;0.364;0.514;0.554;154;139;21;272;0.077;0.136;0.151;199;186;60;325;0.185;0.302;0.323
2011;80;55;29;106;0.274;0.362;0.527;113;93;16;190;0.084;0.142;0.172;174;134;44;264;0.167;0.253;0.328
2010;74;44;25;93;0.269;0.338;0.568;106;73;10;169;0.059;0.094;0.137;164;109;40;233;0.172;0.244;0.367
2009;81;50;21;110;0.191;0.259;0.420;117;60;9;168;0.054;0.077;0.150;184;101;33;252;0.131;0.179;0.327
2008;82;61;29;114;0.254;0.354;0.475;105;54;6;153;0.039;0.057;0.111;170;101;42;229;0.183;0.247;0.416
2007;89;41;24;106;0.226;0.270;0.585;142;72;7;207;0.034;0.049;0.097;210;104;37;277;0.134;0.176;0.356
2006;80;42;26;96;0.271;0.325;0.619;122;61;13;170;0.076;0.107;0.213;183;87;37;233;0.159;0.202;0.425
2005;60;40;16;84;0.190;0.267;0.400;139;60;6;193;0.031;0.043;0.100;182;90;26;246;0.106;0.143;0.289
2004;57;40;10;87;0.115;0.175;0.250;104;72;17;159;0.107;0.163;0.236;146;103;31;218;0.142;0.212;0.301
2003;57;37;11;83;0.133;0.193;0.297;105;93;11;187;0.059;0.105;0.118;154;118;25;247;0.101;0.162;0.212
2002;73;41;17;97;0.175;0.233;0.415;155;91;10;236;0.042;0.065;0.110;207;118;27;298;0.091;0.130;0.229
2001;64;42;19;87;0.218;0.297;0.452;183;54;18;219;0.082;0.098;0.333;223;85;33;275;0.120;0.148;0.388
2000;42;19;3;58;0.052;0.071;0.158;64;71;11;124;0.089;0.172;0.155;97;80;13;164;0.079;0.134;0.163
1999;65;56;16;105;0.152;0.246;0.286;115;63;16;162;0.099;0.139;0.254;161;100;34;227;0.150;0.211;0.340
1998;54;43;7;90;0.078;0.130;0.163;77;61;6;132;0.045;0.078;0.098;118;92;18;192;0.094;0.153;0.196
1997;43;46;7;82;0.085;0.163;0.152;91;51;10;132;0.076;0.110;0.196;122;81;17;186;0.091;0.139;0.210
1996;46;41;10;77;0.130;0.217;0.244;84;52;10;126;0.079;0.119;0.192;117;83;21;179;0.117;0.179;0.253
1995;45;36;8;73;0.110;0.178;0.222;89;58;11;136;0.081;0.124;0.190;120;79;15;184;0.082;0.125;0.190
