YEAR;PC1;PC2;PC1_INT_PC2;PC1_UNI_PC2;PC1_INT_PC2__REL__PC1_UNI_PC2;PC1_INT_PC2__REL__PC1;PC1_INT_PC2__REL__PC2;A1;A2;A1_INT_A2;A1_UNI_A2;A1_INT_A2__REL__A1_UNI_A2;A1_INT_A2__REL__A1;A1_INT_A2__REL__A2;CM1;CM2;CM1_INT_CM2;CM1_UNI_CM2;CM1_INT_CM2__REL__CM1_UNI_CM2;CM1_INT_CM2__REL__CM1;CM1_INT_CM2__REL__CM2
2013;36;65;15;86;0.174;0.417;0.231;40;113;0;153;0.000;0.000;0.000;73;167;17;223;0.076;0.233;0.102
2012;42;65;16;91;0.176;0.381;0.246;49;139;12;176;0.068;0.245;0.086;85;186;31;240;0.129;0.365;0.167
2011;42;55;9;88;0.102;0.214;0.164;39;93;7;125;0.056;0.179;0.075;77;134;16;195;0.082;0.208;0.119
2010;36;44;6;74;0.081;0.167;0.136;53;73;5;121;0.041;0.094;0.068;87;109;14;182;0.077;0.161;0.128
2009;38;50;11;77;0.143;0.289;0.220;35;60;1;94;0.011;0.029;0.017;66;101;12;155;0.077;0.182;0.119
2008;45;61;15;91;0.165;0.333;0.246;60;54;8;106;0.075;0.133;0.148;95;101;25;171;0.146;0.263;0.248
2007;36;41;13;64;0.203;0.361;0.317;48;72;4;116;0.034;0.083;0.056;78;104;17;165;0.103;0.218;0.163
2006;34;42;11;65;0.169;0.324;0.262;41;61;3;99;0.030;0.073;0.049;65;87;14;138;0.101;0.215;0.161
2005;34;40;10;64;0.156;0.294;0.250;44;60;4;100;0.040;0.091;0.067;68;90;14;144;0.097;0.206;0.156
2004;38;40;11;67;0.164;0.289;0.275;42;72;7;107;0.065;0.167;0.097;73;103;16;160;0.100;0.219;0.155
2003;39;37;12;64;0.188;0.308;0.324;50;93;5;138;0.036;0.100;0.054;81;118;21;178;0.118;0.259;0.178
2002;32;41;11;62;0.177;0.344;0.268;46;91;9;128;0.070;0.196;0.099;67;118;23;162;0.142;0.343;0.195
2001;33;42;8;67;0.119;0.242;0.190;59;54;6;107;0.056;0.102;0.111;82;85;16;151;0.106;0.195;0.188
